Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
0,2450,50,0,0,0,0,0,0,0,50,0.0
1,2450,50,0,0,0,0,0,0,0,50,0.0
2,2450,50,0,0,0,0,0,0,0,50,0.0
3,2450,50,0,0,0,0,0,0,0,50,0.0
4,2450,49,0,0,0,1,0,0,0,50,0.02
5,2450,49,0,0,0,1,0,0,0,50,0.02
6,2450,49,0,0,0,1,0,0,0,50,0.02
7,2450,48,0,0,0,2,0,0,0,50,0.04
8,2450,48,0,0,0,2,0,0,0,50,0.04
9,2450,48,0,0,0,2,0,0,0,50,0.04
10,2450,48,0,0,0,2,0,0,0,50,0.04
11,2450,48,0,0,0,2,0,0,0,50,0.04
12,2450,48,0,0,0,2,0,0,0,50,0.04
13,2450,48,0,0,0,2,0,0,0,50,0.04
14,2450,48,0,0,0,2,0,0,0,50,0.04
15,2450,48,0,0,0,2,0,0,0,50,0.04
16,2450,48,0,0,0,2,0,0,0,50,0.04
17,2450,48,0,0,0,2,0,0,0,50,0.04
18,2450,48,0,0,0,2,0,0,0,50,0.04
19,2450,48,0,0,0,2,0,0,0,50,0.04
20,2450,48,0,0,0,2,0,0,0,50,0.04
21,2450,48,0,0,0,2,0,0,0,50,0.04
22,2450,48,0,0,0,2,0,0,0,50,0.04
23,2450,48,0,0,0,2,0,0,0,50,0.04
24,2450,48,0,0,0,2,0,0,0,50,0.04
25,2450,48,0,0,0,2,0,0,0,50,0.04
26,2450,48,0,0,0,2,0,0,0,50,0.04
27,2450,48,0,0,0,2,0,0,0,50,0.04
28,2450,48,0,0,0,2,0,0,0,50,0.04
29,2450,48,0,0,0,2,0,0,0,50,0.04
30,2450,48,0,0,0,2,0,0,0,50,0.04
31,2450,48,0,0,0,2,0,0,0,50,0.04
32,2450,48,0,0,0,2,0,0,0,50,0.04
33,2450,48,0,0,0,2,0,0,0,50,0.04
34,2450,48,0,0,0,2,0,0,0,50,0.04
35,2450,48,0,0,0,2,0,0,0,50,0.04
36,2450,48,0,0,0,2,0,0,0,50,0.04
