Iteration,empty,normal,H,G,GH,A,AH,AG,AGH,total_cells,invasive_percent
0,2450,50,0,0,0,0,0,0,0,50,0.0
1,2450,50,0,0,0,0,0,0,0,50,0.0
2,2450,50,0,0,0,0,0,0,0,50,0.0
3,2450,50,0,0,0,0,0,0,0,50,0.0
4,2450,50,0,0,0,0,0,0,0,50,0.0
5,2450,50,0,0,0,0,0,0,0,50,0.0
6,2450,50,0,0,0,0,0,0,0,50,0.0
7,2450,50,0,0,0,0,0,0,0,50,0.0
8,2450,50,0,0,0,0,0,0,0,50,0.0
9,2450,50,0,0,0,0,0,0,0,50,0.0
10,2450,50,0,0,0,0,0,0,0,50,0.0
11,2450,50,0,0,0,0,0,0,0,50,0.0
12,2450,50,0,0,0,0,0,0,0,50,0.0
13,2450,50,0,0,0,0,0,0,0,50,0.0
14,2450,50,0,0,0,0,0,0,0,50,0.0
15,2450,50,0,0,0,0,0,0,0,50,0.0
16,2450,50,0,0,0,0,0,0,0,50,0.0
17,2450,50,0,0,0,0,0,0,0,50,0.0
18,2450,50,0,0,0,0,0,0,0,50,0.0
19,2450,50,0,0,0,0,0,0,0,50,0.0
20,2450,50,0,0,0,0,0,0,0,50,0.0
21,2450,50,0,0,0,0,0,0,0,50,0.0
22,2450,50,0,0,0,0,0,0,0,50,0.0
23,2450,50,0,0,0,0,0,0,0,50,0.0
24,2450,50,0,0,0,0,0,0,0,50,0.0
25,2450,50,0,0,0,0,0,0,0,50,0.0
26,2450,50,0,0,0,0,0,0,0,50,0.0
27,2450,50,0,0,0,0,0,0,0,50,0.0
28,2450,49,0,1,0,0,0,0,0,50,0.02
29,2450,49,0,1,0,0,0,0,0,50,0.02
30,2450,49,0,1,0,0,0,0,0,50,0.02
31,2450,49,0,1,0,0,0,0,0,50,0.02
32,2450,48,1,1,0,0,0,0,0,50,0.04
33,2450,48,1,1,0,0,0,0,0,50,0.04
34,2450,48,1,1,0,0,0,0,0,50,0.04
35,2449,48,2,1,0,0,0,0,0,51,0.058823529411764705
