Iteration,empty,normal,H,G,GH,A,AH,AG,AGH
0,2450,50,0,0,0,0,0,0,0
1,2450,50,0,0,0,0,0,0,0
2,2450,50,0,0,0,0,0,0,0
3,2450,50,0,0,0,0,0,0,0
4,2450,50,0,0,0,0,0,0,0
5,2450,50,0,0,0,0,0,0,0
6,2450,50,0,0,0,0,0,0,0
7,2450,50,0,0,0,0,0,0,0
8,2450,50,0,0,0,0,0,0,0
9,2450,50,0,0,0,0,0,0,0
10,2450,50,0,0,0,0,0,0,0
11,2450,50,0,0,0,0,0,0,0
12,2450,50,0,0,0,0,0,0,0
13,2450,50,0,0,0,0,0,0,0
14,2450,50,0,0,0,0,0,0,0
15,2450,50,0,0,0,0,0,0,0
16,2450,50,0,0,0,0,0,0,0
17,2450,50,0,0,0,0,0,0,0
18,2450,50,0,0,0,0,0,0,0
19,2450,50,0,0,0,0,0,0,0
20,2450,50,0,0,0,0,0,0,0
21,2450,50,0,0,0,0,0,0,0
22,2450,50,0,0,0,0,0,0,0
23,2450,50,0,0,0,0,0,0,0
24,2450,50,0,0,0,0,0,0,0
25,2450,50,0,0,0,0,0,0,0
26,2450,50,0,0,0,0,0,0,0
27,2450,50,0,0,0,0,0,0,0
28,2450,49,0,0,0,1,0,0,0
29,2450,49,0,0,0,1,0,0,0
30,2450,49,0,0,0,1,0,0,0
31,2450,49,0,0,0,1,0,0,0
32,2450,48,0,1,0,1,0,0,0
33,2450,48,0,1,0,1,0,0,0
34,2450,48,0,1,0,1,0,0,0
35,2450,48,0,1,0,1,0,0,0
36,2450,48,0,1,0,1,0,0,0
37,2450,48,0,1,0,1,0,0,0
38,2450,48,0,1,0,1,0,0,0
39,2450,47,0,2,0,1,0,0,0
40,2450,47,0,2,0,1,0,0,0
41,2450,47,0,2,0,1,0,0,0
42,2450,47,0,2,0,1,0,0,0
43,2450,47,0,2,0,1,0,0,0
44,2450,47,0,2,0,1,0,0,0
45,2450,47,0,2,0,1,0,0,0
46,2450,47,0,2,0,1,0,0,0
47,2450,47,0,2,0,1,0,0,0
48,2450,47,0,2,0,1,0,0,0
49,2450,47,0,2,0,1,0,0,0
50,2450,47,0,2,0,1,0,0,0
51,2450,47,0,2,0,1,0,0,0
52,2450,47,0,2,0,1,0,0,0
53,2450,47,0,2,0,1,0,0,0
54,2450,47,0,2,0,1,0,0,0
55,2450,47,0,2,0,1,0,0,0
56,2450,47,0,2,0,1,0,0,0
57,2451,47,0,1,0,1,0,0,0
58,2450,48,0,1,0,1,0,0,0
59,2450,48,0,1,0,1,0,0,0
60,2450,48,0,1,0,1,0,0,0
61,2450,48,0,1,0,1,0,0,0
62,2450,48,0,1,0,1,0,0,0
63,2450,48,0,1,0,1,0,0,0
64,2450,48,0,1,0,1,0,0,0
65,2450,48,0,1,0,1,0,0,0
66,2450,48,0,1,0,1,0,0,0
67,2450,48,0,1,0,1,0,0,0
68,2450,48,0,1,0,1,0,0,0
69,2450,48,0,1,0,1,0,0,0
70,2450,48,0,1,0,1,0,0,0
71,2450,48,0,1,0,1,0,0,0
72,2450,48,0,1,0,1,0,0,0
73,2450,48,0,1,0,1,0,0,0
74,2450,48,0,1,0,1,0,0,0
75,2450,48,0,1,0,1,0,0,0
76,2450,48,0,1,0,1,0,0,0
77,2450,48,0,1,0,1,0,0,0
78,2450,48,0,1,0,1,0,0,0
79,2450,48,0,1,0,1,0,0,0
80,2450,48,0,1,0,1,0,0,0
81,2450,48,0,1,0,1,0,0,0
82,2450,48,0,1,0,1,0,0,0
83,2450,48,0,1,0,1,0,0,0
84,2450,48,0,1,0,1,0,0,0
85,2450,48,0,1,0,1,0,0,0
86,2450,48,0,1,0,1,0,0,0
87,2450,48,0,1,0,1,0,0,0
88,2450,48,0,1,0,1,0,0,0
89,2450,48,0,1,0,1,0,0,0
90,2450,48,0,1,0,1,0,0,0
91,2450,47,1,1,0,1,0,0,0
92,2450,47,1,1,0,1,0,0,0
93,2449,47,2,1,0,1,0,0,0
94,2449,47,2,1,0,1,0,0,0
95,2449,47,2,1,0,1,0,0,0
96,2447,47,4,1,0,1,0,0,0
97,2447,47,4,1,0,1,0,0,0
98,2444,47,7,1,0,1,0,0,0
99,2444,46,7,2,0,1,0,0,0
100,2440,46,11,2,0,1,0,0,0
101,2439,46,12,2,0,1,0,0,0
102,2434,46,17,2,0,1,0,0,0
103,2434,46,17,2,0,1,0,0,0
104,2428,46,23,2,0,1,0,0,0
105,2426,46,25,2,0,1,0,0,0
106,2418,46,33,2,0,1,0,0,0
107,2418,46,33,2,0,1,0,0,0
108,2407,46,44,2,0,1,0,0,0
109,2407,46,44,2,0,1,0,0,0
110,2400,46,51,2,0,1,0,0,0
111,2396,46,55,2,0,1,0,0,0
112,2389,46,62,2,0,1,0,0,0
113,2386,46,65,2,0,1,0,0,0
114,2378,46,73,2,0,1,0,0,0
115,2374,46,77,2,0,1,0,0,0
116,2367,46,84,2,0,1,0,0,0
117,2363,46,88,2,0,1,0,0,0
118,2357,46,94,2,0,1,0,0,0
119,2352,46,99,2,0,1,0,0,0
120,2351,46,100,2,0,1,0,0,0
121,2343,46,108,2,0,1,0,0,0
122,2337,46,114,2,0,1,0,0,0
123,2333,46,118,2,0,1,0,0,0
124,2321,46,130,2,0,1,0,0,0
125,2318,46,133,2,0,1,0,0,0
126,2308,46,143,2,0,1,0,0,0
127,2300,46,151,2,0,1,0,0,0
128,2293,46,158,2,0,1,0,0,0
129,2287,46,164,2,0,1,0,0,0
130,2275,46,176,2,0,1,0,0,0
131,2272,46,179,2,0,1,0,0,0
132,2267,46,184,2,0,1,0,0,0
133,2261,47,190,1,0,1,0,0,0
134,2251,47,200,1,0,1,0,0,0
135,2248,47,203,1,0,1,0,0,0
136,2236,47,215,1,0,1,0,0,0
137,2229,47,222,1,0,1,0,0,0
138,2225,47,226,1,0,1,0,0,0
139,2214,47,237,1,0,1,0,0,0
140,2210,47,241,1,0,1,0,0,0
141,2201,47,250,1,0,1,0,0,0
142,2196,47,255,1,0,1,0,0,0
143,2187,47,264,1,0,1,0,0,0
144,2179,47,272,1,0,1,0,0,0
145,2169,47,282,1,0,1,0,0,0
146,2165,47,286,1,0,1,0,0,0
147,2154,47,297,1,0,1,0,0,0
148,2152,47,299,1,0,1,0,0,0
149,2142,47,309,1,0,1,0,0,0
150,2137,47,314,1,0,1,0,0,0
151,2128,47,323,1,0,1,0,0,0
152,2119,47,332,1,0,1,0,0,0
153,2110,47,341,1,0,1,0,0,0
154,2103,47,349,0,0,1,0,0,0
155,2098,47,354,0,0,1,0,0,0
156,2091,47,361,0,0,1,0,0,0
157,2086,47,366,0,0,1,0,0,0
158,2077,47,375,0,0,1,0,0,0
159,2071,47,381,0,0,1,0,0,0
160,2064,47,388,0,0,1,0,0,0
161,2058,47,394,0,0,1,0,0,0
162,2046,47,406,0,0,1,0,0,0
163,2041,47,411,0,0,1,0,0,0
164,2036,47,416,0,0,1,0,0,0
165,2032,47,420,0,0,1,0,0,0
166,2027,47,425,0,0,1,0,0,0
167,2019,47,433,0,0,1,0,0,0
168,2015,47,437,0,0,1,0,0,0
169,2009,47,443,0,0,1,0,0,0
170,2005,47,447,0,0,1,0,0,0
171,1990,47,462,0,0,1,0,0,0
172,1989,47,463,0,0,1,0,0,0
173,1982,47,470,0,0,1,0,0,0
174,1978,47,474,0,0,1,0,0,0
175,1966,47,486,0,0,1,0,0,0
176,1960,47,492,0,0,1,0,0,0
177,1956,47,496,0,0,1,0,0,0
178,1949,47,503,0,0,1,0,0,0
179,1940,47,512,0,0,1,0,0,0
180,1932,47,520,0,0,1,0,0,0
181,1919,47,533,0,0,1,0,0,0
182,1912,47,540,0,0,1,0,0,0
183,1905,47,547,0,0,1,0,0,0
184,1896,47,555,0,0,1,1,0,0
185,1894,47,557,0,0,1,1,0,0
186,1888,47,563,0,0,1,1,0,0
187,1884,47,567,0,0,1,1,0,0
188,1875,47,576,0,0,1,1,0,0
189,1869,47,582,0,0,1,1,0,0
190,1866,47,585,0,0,1,1,0,0
191,1860,47,591,0,0,1,1,0,0
192,1853,47,598,0,0,1,1,0,0
193,1844,47,607,0,0,1,1,0,0
194,1838,47,613,0,0,1,1,0,0
195,1838,47,613,0,0,1,1,0,0
196,1830,47,621,0,0,1,1,0,0
197,1826,47,625,0,0,1,1,0,0
198,1830,47,621,0,0,1,1,0,0
199,1830,47,621,0,0,1,1,0,0
200,1824,47,627,0,0,1,1,0,0
201,1817,47,634,0,0,1,1,0,0
202,1814,47,637,0,0,1,1,0,0
203,1807,47,644,0,0,1,1,0,0
204,1805,47,646,0,0,1,1,0,0
205,1801,47,650,0,0,1,1,0,0
206,1800,47,651,0,0,1,1,0,0
207,1796,47,654,0,0,1,2,0,0
208,1796,47,654,0,0,1,2,0,0
209,1792,47,658,0,0,1,2,0,0
210,1787,47,663,0,0,1,2,0,0
211,1786,47,664,0,0,1,2,0,0
212,1782,47,668,0,0,1,2,0,0
213,1778,47,672,0,0,1,2,0,0
